timestamp,open,high,low,close,volume
1704184200,18500.0,18504.25,18499.5,18504.25,130886
1704184260,18504.25,18506.75,18504.0,18506.75,10834
1704184320,18506.75,18509.25,18506.25,18509.25,27750
1704184380,18509.25,18513.5,18508.5,18513.5,121914
1704184440,18513.5,18518.25,18513.0,18518.25,103038
1704184500,18518.25,18518.25,18518.0,18518.0,35204
1704184560,18518.0,18519.5,18517.75,18519.5,47138
1704184620,18519.5,18520.0,18519.5,18520.0,39538
1704184680,18520.0,18520.25,18519.25,18519.25,33240
1704184740,18519.25,18522.5,18519.25,18522.5,10514
1704184800,18522.5,18523.5,18522.25,18523.5,41182
1704184860,18523.5,18525.25,18523.0,18525.25,31430
1704184920,18525.25,18526.5,18524.75,18526.5,31060
1704184980,18526.5,18529.0,18526.25,18529.0,18204
1704185040,18529.0,18529.5,18529.0,18529.5,49048
1704185100,18529.5,18529.5,18529.5,18529.5,33522
1704185160,18529.5,18531.0,18529.5,18531.0,12130
1704185220,18531.0,18531.0,18530.25,18530.5,26788
1704185280,18530.5,18532.5,18529.75,18532.5,18894
1704185340,18532.5,18536.75,18531.5,18536.75,85514
1704185400,18536.75,18537.5,18534.0,18535.25,36974
1704185460,18535.25,18537.25,18535.0,18537.25,16642
1704185520,18537.25,18537.5,18535.25,18536.0,22734
1704185580,18536.0,18536.25,18536.0,18536.25,12816
1704185640,18536.25,18539.0,18535.25,18539.0,18812
1704185700,18539.0,18539.0,18538.75,18538.75,40544
1704185760,18538.75,18541.5,18538.0,18541.5,29362
1704185820,18541.5,18543.0,18541.0,18543.0,46464
1704185880,18543.0,18547.25,18542.75,18547.25,104445
1704185940,18547.25,18547.75,18547.0,18547.75,35988
1704186000,18547.75,18550.25,18546.25,18550.25,30589
1704186060,18550.25,18550.25,18549.75,18550.0,28057
1704186120,18550.0,18550.5,18549.75,18550.5,32235
1704186180,18550.5,18550.5,18549.75,18550.0,37423
1704186240,18550.0,18551.5,18549.5,18551.5,24196
1704186300,18551.5,18553.5,18550.75,18553.5,10503
1704186360,18553.5,18553.75,18553.5,18553.75,21724
1704186420,18553.75,18554.75,18553.5,18554.75,14407
1704186480,18554.75,18556.0,18549.75,18550.25,82188
1704186540,18550.25,18553.5,18549.0,18553.5,30099
1704186600,18553.5,18553.75,18553.0,18553.0,28333
1704186660,18553.0,18553.75,18548.25,18550.25,31855
1704186720,18550.25,18554.0,18549.25,18554.0,70871
1704186780,18554.0,18554.5,18553.75,18554.5,10977
1704186840,18554.5,18558.0,18554.0,18558.0,130471
1704186900,18558.0,18561.75,18557.25,18561.75,143845
1704186960,18561.75,18561.75,18561.0,18561.0,20389
1704187020,18561.0,18561.0,18560.75,18560.75,21400
1704187080,18560.75,18563.75,18559.5,18563.75,28491
1704187140,18563.75,18566.75,18563.75,18566.75,21699
1704187200,18566.75,18568.5,18566.5,18568.5,18585
1704187260,18568.5,18568.5,18568.5,18568.5,12967
1704187320,18568.5,18569.5,18568.25,18569.5,22605
1704187380,18569.5,18572.5,18567.75,18572.5,37297
1704187440,18572.5,18575.75,18571.5,18575.75,84400
1704187500,18575.75,18576.25,18573.25,18573.75,8241
1704187560,18573.75,18576.0,18573.5,18576.0,16854
1704187620,18576.0,18576.0,18576.0,18576.0,21307
1704187680,18576.0,18576.75,18575.5,18576.75,13048
1704187740,18576.75,18578.0,18576.75,18578.0,32506
1704187800,18578.0,18579.25,18577.5,18579.25,12949
1704187860,18579.25,18580.25,18579.0,18580.25,12172
1704187920,18580.25,18580.5,18580.25,18580.5,15829
1704187980,18580.5,18581.5,18580.5,18581.5,14518
1704188040,18581.5,18581.75,18581.5,18581.75,9570
1704188100,18581.75,18582.0,18580.5,18581.0,16061
1704188160,18581.0,18581.25,18580.5,18580.75,13352
1704188220,18580.75,18580.75,18580.5,18580.5,6146
1704188280,18580.5,18582.5,18580.0,18582.5,15670
1704188340,18582.5,18582.5,18582.5,18582.5,20446
1704188400,18582.5,18583.0,18582.5,18583.0,8545
1704188460,18583.0,18583.0,18583.0,18583.0,9233
1704188520,18583.0,18583.5,18583.0,18583.5,13381
1704188580,18583.5,18583.5,18582.75,18583.0,9970
1704188640,18583.0,18583.25,18582.25,18582.5,20408
1704188700,18582.5,18584.25,18582.0,18584.25,16512
1704188760,18584.25,18585.0,18584.0,18585.0,24147
1704188820,18585.0,18587.5,18584.75,18587.5,29299
1704188880,18587.5,18587.75,18586.0,18586.5,7427
1704188940,18586.5,18586.5,18586.5,18586.5,24400
1704189000,18586.5,18586.5,18586.25,18586.25,12133
1704189060,18586.25,18588.0,18586.0,18588.0,18038
1704189120,18588.0,18589.0,18587.5,18589.0,10538
1704189180,18589.0,18591.0,18588.75,18591.0,7772
1704189240,18591.0,18592.75,18590.75,18592.75,13368
1704189300,18592.75,18592.75,18592.0,18592.25,14345
1704189360,18592.25,18592.75,18592.25,18592.75,20201
1704189420,18592.75,18592.75,18591.0,18591.75,11449
1704189480,18591.75,18591.75,18591.25,18591.5,13734
1704189540,18591.5,18593.0,18591.0,18593.0,18192
1704189600,18593.0,18594.25,18592.25,18594.25,9259
1704189660,18594.25,18595.0,18594.25,18595.0,17685
1704189720,18595.0,18598.25,18594.25,18598.25,17907
1704189780,18598.25,18598.5,18597.0,18597.5,16408
1704189840,18597.5,18597.5,18597.0,18597.25,14707
1704189900,18597.25,18598.0,18597.0,18598.0,16394
1704189960,18598.0,18599.75,18597.0,18599.75,11060
